id,original_title,predicted_genres
10229,A Walk to Remember,['drama']
10315,Fantastic Mr. Fox,['western']
10377,My Cousin Vinny,['crime']
10386,The Iron Giant,['sci-fi']
10483,Death Race,['action']
10527,Madagascar: Escape 2 Africa,['adventure']
10528,Sherlock Holmes,['mystery']
10545,The Hunchback of Notre Dame,['biography']
10555,Shark Tale,['biography']
10567,Dinosaur,['adventure']
10585,Child's Play,['horror']
10591,The Girl Next Door,['family']
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['crime']
10625,Mean Girls,['romance']
10634,Friday,['western']
10661,You Don't Mess with the Zohan,['biography']
10674,Mulan,['war']
10681,WALL·E,['sci-fi']
10693,Peter Pan,['kids']
10734,Escape from Alcatraz,['documentary']
10757,कभी ख़ुशी कभी ग़म,['family']
10788,कमबख़्त इश्क़,['romance']
10830,Matilda,['fantasy']
10882,Sleeping Beauty,['fantasy']
10999,Commando,['action']
11013,Secretary,['crime']
11036,The Notebook,['romance']
11069,Tremors 2: Aftershocks,['war']
11212,Baby's Day Out,['kids']
11224,Cinderella,['fantasy']
11281,Halloween II,['horror']
11324,Shutter Island,['mystery']
11351,Jeepers Creepers 2,['action']
11360,Dumbo,['kids']
11474,The Warriors,['action']
11518,मोहब्बतें,['family']
11522,Pretty in Pink,['romance']
11544,Lilo & Stitch,['kids']
11631,Mamma Mia!,['family']
11635,Old School,['family']
11688,The Emperor's New Groove,['western']
11697,The Man Who Shot Liberty Valance,['western']
11763,बंटी और बब्ली,['crime']
11807,जब वी मेट,['family']
11824,Teen Wolf,['family']
11836,The SpongeBob SquarePants Movie,['mystery']
11845,Intimacy,['family']
11854,कुछ कुछ होता है,['family']
11969,Tombstone,['western']
11970,Hercules,['action']
12092,Alice in Wonderland,['kids']
12153,White Chicks,['mystery']
12155,Alice in Wonderland,['family']
12244,9,['thriller']
12258,காதல் தேசம்,['romance']
12259,शोले,['crime']
12273,Singh Is Kinng,['comedy']
12274,குசேலன்,['romance']
12444,Harry Potter and the Deathly Hallows: Part 1,['thriller']
12445,Harry Potter and the Deathly Hallows: Part 2,['fantasy']
13053,Bolt,['action']
13179,Tinker Bell,['animation']
13183,Watchmen,['action']
13186,Wrong Turn 2: Dead End,['western']
13223,Gran Torino,['war']
13448,Angels & Demons,['crime']
13475,Star Trek,['sci-fi']
13920,Radio,['biography']
13986,दिल तो पागल है,['romance']
14070,गजनी,['mystery']
14071,दोस्ताना,['family']
14072,रब ने बना दी जोड़ी,['romance']
14073,जोधा अकबर,['romance']
14134,मैं हूँ ना,['crime']
14159,Aaja Nachle,['biography']
14160,Up,['adventure']
14161,2012,['adventure']
14162,Jhoom Barabar Jhoom,['family']
14163,चकदे! इंडिया,['family']
14165,Ta Ra Rum Pum,['romance']
14193,Tashan,['crime']
14194,धूम २,['crime']
14214,Thoda Pyaar Thoda Magic,['family']
14324,Virgin Territory,['history']
14394,सर्कार राज,['biography']
14395,कभी अलविदा ना कहना,['romance']
14411,Sinbad: Legend of the Seven Seas,['adventure']
14445,மைகேல் மதன காம ராஜன்,['family']
14467,जाने तू...या जाने ना,['romance']
14468,एक चालीस की लास्ट लोकल,['family']
14478,अलीबाबा और चालीस चोर,['biography']
14546,Golmaal Returns,['mystery']
14574,The Boy in the Striped Pyjamas,['war']
14705,ओमकारा,['crime']
14752,दिल चाहता है,['romance']
14785,बैंडिट क्वीन,['biography']
14836,Coraline,['family']
14869,G.I. Joe: The Rise of Cobra,['action']
15084,Salaam Namaste,['drama']
15255,Undisputed II: Last Man Standing,['war']
15411,भेजा फ्राई,['comedy']
15412,खोसला का घोसला,['crime']
15419,कभी हाँ कभी ना,['musical']
15467,किस्मत कोन्नेक्टिओं,['family']
15490,హోమం,['family']
15512,Monsters vs Aliens,['mystery']
15567,Stitch! The Movie,['sci-fi']
15761,Company,['crime']
15772,गुरु,['biography']
15774,स्वदेस,['family']
15864,बचना ऐ हसीनो,['romance']
15917,देवदास,['romance']
15974,भूतनाथ,['horror']
15975,Oye Lucky! Lucky Oye!,['crime']
15977,देव .डी,['family']
15978,Naina,['horror']
15979,फूँक,['horror']
15980,राज़ : दि मिस्ट्री कन्टिन्युज,['horror']
16283,सावरिया,['romance']
16344,Luck by Chance,['thriller']
16345,बिल्लू,['biography']
16537,Mumbai Meri Jaan,['crime']
16566,अब तक छप्पन,['crime']
16869,Inglourious Basterds,['war']
16894,अकेले हम अकेले तुम,['romance']
16987,कहो ना प्यार है,['romance']
17478,धूम,['crime']
17501,डॉन,['crime']
17578,The Adventures of Tintin,['adventure']
17888,தசாவதாரம்,['adventure']
18149,വന്ദനം,['crime']
18239,The Twilight Saga: New Moon,['horror']
18240,The Proposal,['thriller']
18609,शौर्य,['crime']
18610,वन टू थ्री,['crime']
18785,The Hangover,['family']
18799,आहिस्ता आहिस्ता,['family']
18823,Clash of the Titans,['biography']
19025,भूल भुलैया,['mystery']
19404,दिलवाले दुल्हनिया ले जायेंगे,['romance']
19418,ढोल,['family']
19491,क्यों! हो गया ना...,['romance']
19616,New York,['drama']
19620,ब्लफ़ मास्टर,['crime']
19623,Drona,['adventure']
19624,Fashion,['family']
19625,मुन्ना भाई एम बी बी एस,['crime']
19636,गरम मसाला,['mystery']
19637,चुप चुप के,['family']
19657,बाज़ीगर,['crime']
19658,Race,['family']
19663,लव आज कल,['romance']
19666,लगान,['war']
19667,चमकू,['crime']
19669,किडनैप,['mystery']
19670,गोलमाल,['crime']
19672,Rock On!!,['romance']
19703,A Wednesday!,['mystery']
19887,डिस्को डांसर,['musical']
19908,Zombieland,['horror']
19912,The Final Destination,['thriller']
19913,(500) Days of Summer,['romance']
19950,யாவரும் நலம்,['horror']
19951,1920,['horror']
19971,The Little Girl Who Lives Down the Lane,['mystery']
19978,அந்நியன்,['crime']
19980,99,['mystery']
19994,Jennifer's Body,['horror']
19995,Avatar,['adventure']
20002,चांदनी चौक टू चाइना,['family']
20027,दिल्ली ६,['romance']
20049,அயன்,['crime']
20129,जॉनी गद्दार,"['crime', 'mystery']"
20132,काल,['adventure']
20145,३६ चाइना टाउन,"['mystery', 'crime']"
20290,लक,['biography']
20291,संकट सिटी,['crime']
20294,Welcome,['family']
20295,सी कम्पनी,['mystery']
20352,Despicable Me,['horror']
20358,युव्वराज,['action']
20359,Phir Hera Pheri,['family']
20360,Namastey London,['romance']
20364,Hulchul,['romance']
20365,Hello,['drama']
20390,No Entry,['romance']
20413,धमाल,['mystery']
20453,3 Idiots,['comedy']
20492,Life in a Metro,['romance']
20494,मालामाल वीकली,['biography']
20495,मुझसे शादी करोगी,['romance']
20496,Mangal Pandey - The Rising,['war']
20507,अज्ञात,['adventure']
20526,TRON: Legacy,['crime']
20534,Murder,['romance']
20535,निशब्द,['family']
20563,Heroes,['war']
20622,Padosan,['family']
20623,Page 3,['mystery']
20651,Parineeta,['romance']
20656,साथिया,['romance']
20688,कमीने,['family']
20731,राज़,['romance']
20742,Shootout at Lokhandwala,['war']
20760,Lilo & Stitch 2: Stitch Has a Glitch,['sci-fi']
20769,चांदनी बार,['crime']
20832,क्रैजी 4,['thriller']
20917,संडे,"['mystery', 'horror', 'crime']"
20929,ताल,['romance']
